Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IBS,,,,21-03-2024 10:35:28,21-03-2024 10:35:30,1.947s,PASSED
,,,,,,,
Test Cases/API IBS Unicorn,,API IBS Unicorn,,21-03-2024 10:35:29,21-03-2024 10:35:30,1.575s,PASSED
"response = sendRequest(findTestObject(""IBS Unicorn""))",,,,21-03-2024 10:35:29,21-03-2024 10:35:30,1.375s,PASSED
"verifyResponseStatusCode(response, 200)",,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.012s,PASSED
,,,,,,,
Test Cases/API IBS X,,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.120s,PASSED
"response = sendRequest(findTestObject(""IBS X API""))",,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.058s,PASSED
"verifyResponseStatusCode(response, 200)",,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.001s,PASSED
,,,,,,,
Test Cases/API Nota sudah lunas,,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.105s,PASSED
"response = sendRequest(findTestObject(""IBS X API""))",,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.060s,PASSED
"verifyResponseStatusCode(response, 200)",,,,21-03-2024 10:35:30,21-03-2024 10:35:30,0.002s,PASSED
